Date,Porcentaje,WUA,Area,Vulnerabilidad - Fenomeno nina,Vulnerabilidad - Fenomeno nino,Individuos totales,Individuos maduros,Individuos reproductibles,Huevos esperados,Pre-reclutas,Peso por individuo
2023-03-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,6.270730861662468
2023-04-01,0.3,15854.106180200071,25091.120648678992,1.0,1.0,63416.424720800285,15854.106180200071,4756.231854060021,15552878162.77627,466586.3448832881,13.735564980784433
2023-05-01,0.3,16660.36566179785,26012.969913649995,0.216,1.0,66641.4626471914,16660.36566179785,4998.109698539354,16343818714.22369,490314.5614267107,5.9494052482450925
2023-06-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,6.116953165586605
2023-07-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,5.321765206745377
2023-08-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,4.278248794722818
2023-09-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,11.596319118688823
2023-10-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,4.8703937144162115
2023-11-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,3.159064497930805
2023-12-01,0.05,15855.828971048715,25083.372023589,1.0,1.0,63423.31588419486,15855.828971048715,792.7914485524358,15554568220.59879,77772.84110299395,9.68033589219841
2024-01-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,2.630772091242572
2024-02-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,1.0940560055495836
2024-03-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,2.3459955340903207
2024-04-01,0.3,15854.106180200071,25091.120648678992,1.0,1.0,63416.424720800285,15854.106180200071,4756.231854060021,15552878162.77627,466586.3448832881,8.962721498189623
2024-05-01,0.3,18823.664759428837,29115.61122137601,0.216,1.0,75294.65903771535,18823.664759428837,5647.099427828651,18466015128.999687,553980.4538699907,7.048438256368335
2024-06-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,11.974939609337156
2024-07-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,2.913807430976265
2024-08-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,7.5451003948671485
2024-09-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,2.4803984365382643
2024-10-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,4.441616357955674
2024-11-01,0.05,18823.664759428837,29115.61122137601,0.216,1.0,75294.65903771535,18823.664759428837,941.1832379714419,18466015128.999687,92330.07564499846,11.161809369560418
2024-12-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,0.9013129052845228
2025-01-01,0.05,15631.75989034555,24850.010023474,1.0,1.0,62527.0395613822,15631.75989034555,781.5879945172775,15334756452.428984,76673.78226214493,8.799525046666414
2025-02-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,14.039956110406395
2025-03-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,3.7285327878586587
2025-04-01,0.3,15854.106180200071,25091.120648678992,1.0,1.0,63416.424720800285,15854.106180200071,4756.231854060021,15552878162.77627,466586.3448832881,2.433395271123806
2025-05-01,0.3,16660.36566179785,26012.969913649995,0.216,1.0,66641.4626471914,16660.36566179785,4998.109698539354,16343818714.22369,490314.5614267107,2.2449466811769274
2025-06-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,2.591968921436422
2025-07-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,5.365120311773982
2025-08-01,0.05,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,804.6246774173906,15786736170.929203,78933.68085464601,1.202171820371742
2025-09-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,5.2933044910593265
2025-10-01,0.05,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,804.6246774173906,15786736170.929203,78933.68085464601,6.5540238512298306
2025-11-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,4.675257768655058
2025-12-01,0.05,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,804.6246774173906,15786736170.929203,78933.68085464601,9.528560628578063
2026-01-01,0.05,15312.548739827276,24547.482478278,1.0,1.0,61250.194959309105,15312.548739827276,765.6274369913639,15021610313.770557,75108.0515688528,6.3134509475114955
2026-02-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,1.6990133077889884
2026-03-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,4.26552923529061
2026-04-01,0.3,15312.548739827276,24547.482478278,1.0,1.0,61250.194959309105,15312.548739827276,4593.764621948183,15021610313.770557,450648.3094131168,8.840798823520156
2026-05-01,0.3,16660.36566179785,26012.969913649995,0.216,1.0,66641.4626471914,16660.36566179785,4998.109698539354,16343818714.22369,490314.5614267107,3.6901043648785845
2026-06-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,6.943379302094298
2026-07-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,4.882108548637253
2026-08-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,10.252278600505356
2026-09-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,22.123340260646813
2026-10-01,0.05,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,804.6246774173906,15786736170.929203,78933.68085464601,1.791722622791613
2026-11-01,0.05,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,804.6246774173906,15786736170.929203,78933.68085464601,1.0771815086567962
2026-12-01,0.05,15855.828971048715,25083.372023589,1.0,1.0,63423.31588419486,15855.828971048715,792.7914485524358,15554568220.59879,77772.84110299395,14.094786463401455
2027-01-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,14.883104496372967
2027-02-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,15.418185959057976
2027-03-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,1.1384278651616233
2027-04-01,0.3,15854.106180200071,25091.120648678992,1.0,1.0,63416.424720800285,15854.106180200071,4756.231854060021,15552878162.77627,466586.3448832881,3.375896685824639
2027-05-01,0.3,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,4827.748064504343,15786736170.929203,473602.0851278761,8.88460921886023
2027-06-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,0.258306321052018
2027-07-01,0.05,15855.828971048715,25083.372023589,1.0,1.0,63423.31588419486,15855.828971048715,792.7914485524358,15554568220.59879,77772.84110299395,1.9871879760769464
2027-08-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,7.543273398918897
2027-09-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,4.069505794070208
2027-10-01,0.05,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,804.6246774173906,15786736170.929203,78933.68085464601,4.848966898966993
2027-11-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,2.0870108515317956
2027-12-01,0.05,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,804.6246774173906,15786736170.929203,78933.68085464601,3.4265077398986614
2028-01-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,13.252001021160977
2028-02-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,7.603117173881591
2028-03-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,10.415096518171108
2028-04-01,0.3,15631.75989034555,24850.010023474,1.0,1.0,62527.0395613822,15631.75989034555,4689.527967103664,15334756452.428984,460042.69357286947,12.800741683544208
2028-05-01,0.3,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,4827.748064504343,15786736170.929203,473602.0851278761,6.222099933464721
2028-06-01,0.05,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,804.6246774173906,15786736170.929203,78933.68085464601,7.536732273260865
2028-07-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,6.617239386580202
2028-08-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,0.2964177323179955
2028-09-01,0.05,15312.548739827276,24547.482478278,1.0,1.0,61250.194959309105,15312.548739827276,765.6274369913639,15021610313.770557,75108.0515688528,5.687084416222798
2028-10-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,4.808046893582029
2028-11-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,6.0170222101636055
2028-12-01,0.05,15312.548739827276,24547.482478278,1.0,1.0,61250.194959309105,15312.548739827276,765.6274369913639,15021610313.770557,75108.0515688528,1.1612553703825697
2029-01-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,2.0536705776508706
2029-02-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,1.8156692097823584
2029-03-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,2.45723865051525
2029-04-01,0.3,15312.548739827276,24547.482478278,1.0,1.0,61250.194959309105,15312.548739827276,4593.764621948183,15021610313.770557,450648.3094131168,8.027582616783274
2029-05-01,0.3,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,4859.796302164925,15891533908.079304,476746.01724237914,7.01925727779128
2029-06-01,0.05,15855.828971048715,25083.372023589,1.0,1.0,63423.31588419486,15855.828971048715,792.7914485524358,15554568220.59879,77772.84110299395,5.364257831039917
2029-07-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,3.890416067041834
2029-08-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,4.68147604714244
2029-09-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,3.7210206830225694
2029-10-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,9.09209470003385
2029-11-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,23.041566297397566
2029-12-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,18.31267331921594
2030-01-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,0.7755307715499122
2030-02-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,7.049141392752244
2030-03-01,0.05,15312.548739827276,24547.482478278,1.0,1.0,61250.194959309105,15312.548739827276,765.6274369913639,15021610313.770557,75108.0515688528,5.193213062456907
2030-04-01,0.3,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,4827.748064504343,15786736170.929203,473602.0851278761,10.674199181273277
2030-05-01,0.3,17990.041526968762,28071.936991415,0.216,1.0,71960.16610787505,17990.041526968762,5397.012458090629,17648230737.956356,529446.9221386907,2.5956268844843993
2030-06-01,0.05,20119.543791701108,30942.416425514013,0.216,1.0,80478.17516680443,20119.543791701108,1005.9771895850554,19737272459.658787,98686.36229829394,1.6091410268344766
2030-07-01,0.05,17990.041526968762,28071.936991415,0.216,1.0,71960.16610787505,17990.041526968762,899.5020763484381,17648230737.956356,88241.15368978179,5.208633297165541
2030-08-01,0.05,17990.041526968762,28071.936991415,0.216,1.0,71960.16610787505,17990.041526968762,899.5020763484381,17648230737.956356,88241.15368978179,10.992117589448664
2030-09-01,0.05,19742.92102853445,30511.997746059995,0.216,1.0,78971.6841141378,19742.92102853445,987.1460514267225,19367805528.992294,96839.02764496148,3.466662795316493
2030-10-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,6.761983884855821
2030-11-01,0.05,20119.543791701108,30942.416425514013,0.216,1.0,80478.17516680443,20119.543791701108,1005.9771895850554,19737272459.658787,98686.36229829394,8.399392128005264
2030-12-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,11.461716235629993
2031-01-01,0.05,15312.548739827276,24547.482478278,1.0,1.0,61250.194959309105,15312.548739827276,765.6274369913639,15021610313.770557,75108.0515688528,7.915102227170497
2031-02-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,6.414746031239021
2031-03-01,0.05,15312.548739827276,24547.482478278,1.0,1.0,61250.194959309105,15312.548739827276,765.6274369913639,15021610313.770557,75108.0515688528,5.6268133932088045
2031-04-01,0.3,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,4859.796302164925,15891533908.079304,476746.01724237914,8.230123148200809
2031-05-01,0.3,17341.944512703678,26880.917642639004,0.216,1.0,69367.77805081471,17341.944512703678,5202.583353811103,17012447566.962309,510373.42700886924,2.892164798152221
2031-06-01,0.05,20119.543791701108,30942.416425514013,0.216,1.0,80478.17516680443,20119.543791701108,1005.9771895850554,19737272459.658787,98686.36229829394,15.467029175946386
2031-07-01,0.05,17990.041526968762,28071.936991415,0.216,1.0,71960.16610787505,17990.041526968762,899.5020763484381,17648230737.956356,88241.15368978179,6.661673512119306
2031-08-01,0.05,17990.041526968762,28071.936991415,0.216,1.0,71960.16610787505,17990.041526968762,899.5020763484381,17648230737.956356,88241.15368978179,2.2709522668208053
2031-09-01,0.05,20119.543791701108,30942.416425514013,0.216,1.0,80478.17516680443,20119.543791701108,1005.9771895850554,19737272459.658787,98686.36229829394,0.5500704077309644
2031-10-01,0.05,20119.543791701108,30942.416425514013,0.216,1.0,80478.17516680443,20119.543791701108,1005.9771895850554,19737272459.658787,98686.36229829394,1.04289378289277
2031-11-01,0.05,20119.543791701108,30942.416425514013,0.216,1.0,80478.17516680443,20119.543791701108,1005.9771895850554,19737272459.658787,98686.36229829394,7.383566194412688
2031-12-01,0.05,16092.493548347811,25384.898371485004,0.216,1.0,64369.974193391245,16092.493548347811,804.6246774173906,15786736170.929203,78933.68085464601,16.833437127735348
2032-01-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,4.174832349827488
2032-02-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,19.677848331307576
2032-03-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,8.168556589141847
2032-04-01,0.3,15312.548739827276,24547.482478278,1.0,1.0,61250.194959309105,15312.548739827276,4593.764621948183,15021610313.770557,450648.3094131168,5.436837592050534
2032-05-01,0.3,20119.543791701108,30942.416425514013,0.216,1.0,80478.17516680443,20119.543791701108,6035.863137510332,19737272459.658787,592118.1737897636,3.0311403203268084
2032-06-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,3.9739061131736038
2032-07-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,4.75126015520821
2032-08-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,10.718860721302176
2032-09-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,9.540844332504367
2032-10-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,5.696746476229693
2032-11-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,23.64616003090007
2032-12-01,0.05,15855.828971048715,25083.372023589,1.0,1.0,63423.31588419486,15855.828971048715,792.7914485524358,15554568220.59879,77772.84110299395,2.0818358482155985
2033-01-01,0.05,15019.333860416673,24257.053453919994,1.0,1.0,60077.33544166669,15019.333860416673,750.9666930208336,14733966517.068756,73669.83258534379,1.2569480468934762
2033-02-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,9.9151078492753
2033-03-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,4.226587008187939
2033-04-01,0.3,15312.548739827276,24547.482478278,1.0,1.0,61250.194959309105,15312.548739827276,4593.764621948183,15021610313.770557,450648.3094131168,4.137517318418832
2033-05-01,0.3,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,5013.077444466656,16392763243.405966,491782.89730217896,3.749168757685583
2033-06-01,0.05,16710.258148222187,26045.007205906004,0.216,1.0,66841.03259288875,16710.258148222187,835.5129074111094,16392763243.405966,81963.81621702983,10.212210069733976
2033-07-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,7.07678536276874
2033-08-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,4.2450043073042645
2033-09-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,3.8516837971004954
2033-10-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,9.381855506278416
2033-11-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,1.5392495038195895
2033-12-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,1.9416943498744947
2034-01-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,14.259727733555676
2034-02-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,10.222657060263199
2034-03-01,0.05,16025.966095349888,25556.819196126,1.0,1.0,64103.86438139955,16025.966095349888,801.2983047674944,15721472739.53824,78607.36369769121,2.7701719042270487
2034-04-01,0.3,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,4859.796302164925,15891533908.079304,476746.01724237914,15.97458787809021
2034-05-01,0.3,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,5170.314545678794,16906928564.36966,507207.8569310898,11.882806167352703
2034-06-01,0.05,17234.381818929316,26902.60329556201,0.216,1.0,68937.52727571726,17234.381818929316,861.7190909464658,16906928564.36966,84534.6428218483,1.6478853453605495
2034-07-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,9.129296169394461
2034-08-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,4.716608859703915
2034-09-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,0.45111613243970883
2034-10-01,0.05,16199.321007216417,25537.94970143,0.216,1.0,64797.284028865666,16199.321007216417,809.9660503608209,15891533908.079304,79457.66954039654,4.283312372620638
